step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,hs_rate,drum_vel,saccade_shunt,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
93,1.86,45.22308275775149,45.0,1.6000022269692483e-22,0.14034686873893562,0.0,0.0,76.0,30.0,0.0,93,45.22308275775149,45.0,1.6000022269692483e-22,0.14034686873893562,WANDER,0.55,0,0,0,0,optomotor
94,1.8800000000000001,45.225763422648505,45.0,1.6105363657205557e-22,0.13403324485074064,0.0,0.0,76.0,30.0,0.0,94,45.225763422648505,45.0,1.6105363657205557e-22,0.13403324485074064,WANDER,0.55,0,0,0,0,optomotor
95,1.9000000000000001,45.22838192543055,45.0,1.620579189357448e-22,0.13092513910218537,0.0,0.0,76.0,30.0,0.0,95,45.22838192543055,45.0,1.620579189357448e-22,0.13092513910218537,WANDER,0.55,0,0,0,0,optomotor
96,1.92,45.23099432085948,45.0,1.6301540353478602e-22,0.13061977144671214,0.0,0.0,76.0,30.0,0.0,96,45.23099432085948,45.0,1.6301540353478602e-22,0.13061977144671214,WANDER,0.55,0,0,0,0,optomotor
97,1.94,45.23364410900306,45.0,1.6392831326299996e-22,0.1324894071788307,0.0,0.0,76.0,30.0,0.0,97,45.23364410900306,45.0,1.6392831326299996e-22,0.1324894071788307,WANDER,0.55,0,0,0,0,optomotor
98,1.96,45.23635891884055,45.0,1.6505917079860442e-22,0.13574049187478696,0.0,0.0,76.0,30.0,0.0,98,45.23635891884055,45.0,1.6505917079860442e-22,0.13574049187478696,WANDER,0.55,0,0,0,0,optomotor
99,1.98,45.239148590458996,45.0,1.658768403209089e-22,0.1394835809222088,0.0,0.0,76.0,30.0,0.0,99,45.239148590458996,45.0,1.658768403209089e-22,0.1394835809222088,WANDER,0.55,0,0,0,0,optomotor
100,2.0,45.24200482924078,45.0,1.6665657618853111e-22,0.14281193908922218,0.0,0.0,76.0,30.0,0.0,100,45.24200482924078,45.0,1.6665657618853111e-22,0.14281193908922218,WANDER,0.55,0,0,0,0,optomotor
101,2.02,45.24490246423473,45.0,1.6740018025006848e-22,0.1448817496973644,0.0,0.0,76.0,30.0,0.0,101,45.24490246423473,45.0,1.6740018025006848e-22,0.1448817496973644,WANDER,0.55,0,0,0,0,optomotor
102,2.04,45.24780219880575,45.0,1.6784896339445657e-22,0.14498672855117603,0.0,0.0,76.0,30.0,0.0,102,45.24780219880575,45.0,1.6784896339445657e-22,0.14498672855117603,WANDER,0.55,0,0,0,0,optomotor
103,2.06,45.25065460761196,45.0,1.6775649679953902e-22,0.14262044031061966,0.0,0.0,76.0,30.0,0.0,103,45.25065460761196,45.0,1.6775649679953902e-22,0.14262044031061966,WANDER,0.55,0,0,0,0,optomotor
104,2.08,45.25340502199889,45.0,1.6792965105575824e-22,0.13752071934636106,0.0,0.0,76.0,30.0,0.0,104,45.25340502199889,45.0,1.6792965105575824e-22,0.13752071934636106,WANDER,0.55,0,0,0,0,optomotor
105,2.1,45.25606446939535,45.0,1.6783502587284582e-22,0.13297236982292313,0.0,0.0,76.0,30.0,0.0,105,45.25606446939535,45.0,1.6783502587284582e-22,0.13297236982292313,WANDER,0.55,0,0,0,0,optomotor
106,2.12,45.25869326356645,45.0,1.6748531333029299e-22,0.13143970855518755,0.0,0.0,76.0,30.0,0.0,106,45.25869326356645,45.0,1.6748531333029299e-22,0.13143970855518755,WANDER,0.55,0,0,0,0,optomotor
107,2.14,45.26134101054803,45.0,1.6715300800566865e-22,0.1323873490791308,0.0,0.0,76.0,30.0,0.0,107,45.26134101054803,45.0,1.6715300800566865e-22,0.1323873490791308,WANDER,0.55,0,0,0,0,optomotor
108,2.16,45.26404276004411,45.0,1.6683728305612122e-22,0.1350874748043018,0.0,0.0,76.0,30.0,0.0,108,45.26404276004411,45.0,1.6683728305612122e-22,0.1350874748043018,WANDER,0.55,0,0,0,0,optomotor
109,2.18,45.26681643663494,45.0,1.66797756285688e-22,0.13868382954122227,0.0,0.0,76.0,30.0,0.0,109,45.26681643663494,45.0,1.66797756285688e-22,0.13868382954122227,WANDER,0.55,0,0,0,0,optomotor
110,2.2,45.269661782683514,45.0,1.6676093035287509e-22,0.14226730242853255,0.0,0.0,76.0,30.0,0.0,110,45.269661782683514,45.0,1.6676093035287509e-22,0.14226730242853255,WANDER,0.55,0,0,0,0,optomotor
111,2.22,45.27256090903245,45.0,1.6594546085233512e-22,0.14495631744696566,0.0,0.0,76.0,30.0,0.0,111,45.27256090903245,45.0,1.6594546085233512e-22,0.14495631744696566,WANDER,0.55,0,0,0,0,optomotor
112,2.24,45.27548040516064,45.0,1.6464865639378614e-22,0.1459748064096103,0.0,0.0,76.0,30.0,0.0,112,45.27548040516064,45.0,1.6464865639378614e-22,0.1459748064096103,WANDER,0.55,0,0,0,0,optomotor
113,2.2600000000000002,45.278374820389146,45.0,1.634141362437055e-22,0.1447207614252211,0.0,0.0,76.0,30.0,0.0,113,45.278374820389146,45.0,1.634141362437055e-22,0.1447207614252211,WANDER,0.55,0,0,0,0,optomotor
114,2.2800000000000002,45.28119120456613,45.0,1.6223894189744097e-22,0.14081920884892923,0.0,0.0,76.0,30.0,0.0,114,45.28119120456613,45.0,1.6223894189744097e-22,0.14081920884892923,WANDER,0.55,0,0,0,0,optomotor
115,2.3000000000000003,45.28388740143024,45.0,1.6112025537931129e-22,0.13480984320570147,0.0,0.0,76.0,30.0,0.0,115,45.28388740143024,45.0,1.6112025537931129e-22,0.13480984320570147,WANDER,0.55,0,0,0,0,optomotor
116,2.32,45.28652699887268,45.0,1.603157979393335e-22,0.13197987212178772,0.0,0.0,76.0,30.0,0.0,116,45.28652699887268,45.0,1.603157979393335e-22,0.13197987212178772,WANDER,0.55,0,0,0,0,optomotor
